step,train_loss,val_loss,train_bpc,val_bpc
0,5.2326788902282715,5.232579231262207,7.549159885496692,7.549016108000571
1000,1.8882884979248047,1.943392276763916,2.7242244517237855,2.803722400189214
2000,1.5816601514816284,1.6250567436218262,2.281853256914232,2.3444613051863765
3000,1.434014081954956,1.4786301851272583,2.068845004601355,2.1332124353918256
4000,1.354158639907837,1.4140350818634033,1.95363795437198,2.0400214002473516
5000,1.3080192804336548,1.37150239944458,1.8870729292687842,1.97865971024601
6000,1.2786070108413696,1.342048168182373,1.844639993786705,1.9361662368708272
7000,1.2554823160171509,1.3221522569656372,1.811278111241734,1.9074625044244753
8000,1.2478930950164795,1.3068078756332397,1.800329179739855,1.8853252415707162
9000,1.2174594402313232,1.2894779443740845,1.7564226969051835,1.8603234356841862
10000,1.2146477699279785,1.2818541526794434,1.7523663141019332,1.8493246292135572
11000,1.1969808340072632,1.2694032192230225,1.726878313261414,1.8313617292615403
12000,1.1929469108581543,1.2569524049758911,1.7210585923388675,1.8133990012921741
13000,1.1930075883865356,1.261699914932251,1.7211461315081567,1.8202482103627855
14000,1.183624029159546,1.2480441331863403,1.7076085171454907,1.8005470817584983
15000,1.1695177555084229,1.2393386363983154,1.6872574661035928,1.7879877047139399
16000,1.1664791107177734,1.2380268573760986,1.6828736283330998,1.7860952076238454
17000,1.1528013944625854,1.238408088684082,1.6631408549210538,1.786645208141305
18000,1.1558561325073242,1.2219105958938599,1.6675479103494133,1.76284435710575
19000,1.1625596284866333,1.2232632637023926,1.6772190107553815,1.7647958442450902
20000,1.1454658508300781,1.2059342861175537,1.6525579025002108,1.7397954142197671
21000,1.1394314765930176,1.1989234685897827,1.6438521407135356,1.7296809425398745
22000,1.1346590518951416,1.2043167352676392,1.636966987268894,1.7374617816302096
23000,1.1301459074020386,1.190255880355835,1.6304558960898787,1.7171762559782906
24000,1.126126766204834,1.200311303138733,1.6246575010160391,1.7316831645612192
25000,1.1267805099487305,1.190657138824463,1.6256006538733707,1.7177551495810948
26000,1.1233490705490112,1.1840944290161133,1.6206501332682848,1.7082871606857954
27000,1.121945858001709,1.190864086151123,1.6186257254849787,1.7180537114629926
28000,1.0998365879058838,1.191493272781372,1.5867287911600572,1.7189614358942464
29000,1.1106911897659302,1.1910682916641235,1.60238867143437,1.7183483177439205
30000,1.1071621179580688,1.1772974729537964,1.5972972970382275,1.6984812258815507
31000,1.1038689613342285,1.163216233253479,1.5925462763081424,1.678166291196334
32000,1.1007546186447144,1.1734764575958252,1.5880532295543515,1.692968665973445
33000,1.097151756286621,1.1848877668380737,1.582855397897325,1.7094317052272874
34000,1.100555419921875,1.1611952781677246,1.5877658465447597,1.6752506693162568
35000,1.094144344329834,1.174286961555481,1.578516619581358,1.6941379760166613
36000,1.0885361433029175,1.1638189554214478,1.570425695771517,1.6790358354790964
37000,1.0911576747894287,1.1537591218948364,1.5742077662466412,1.6645225635380856
38000,1.075412631034851,1.1542249917984009,1.5514924697033323,1.6651946717376576
39000,1.0901412963867188,1.1559593677520752,1.572741442165385,1.6676968473250604
39999,1.0856908559799194,1.1486949920654297,1.5663208138607236,1.6572165685467826
