step,train_loss,val_loss,train_bpc,val_bpc
0,4.874842643737793,4.87575626373291,7.032911307234558,7.03422938227077
500,1.9642894268035889,1.9501699209213257,2.833870614920162,2.8135004738040186
1000,1.6468673944473267,1.6464598178863525,2.3759274229708867,2.3753394142875868
1500,1.5001369714736938,1.5078365802764893,2.1642401693992865,2.1753483568358645
2000,1.4193751811981201,1.430616855621338,2.047725535075402,2.0639438430170665
2500,1.3756473064422607,1.389400839805603,1.98463954701651,2.0044817013945044
3000,1.3414390087127686,1.3590542078018188,1.9352874055249183,1.960700765894963
3500,1.3255497217178345,1.3452348709106445,1.9123640099740653,1.9407636770936918
4000,1.2885771989822388,1.321944236755371,1.859023934774267,1.9071623946987197
4500,1.275915265083313,1.3109054565429688,1.8407566255302228,1.8912368012288236
4999,1.2512791156768799,1.2739992141723633,1.8052141749549622,1.837992348382905
0,4.814505100250244,4.815368175506592,6.945862632465649,6.947107786857896
500,2.081801652908325,2.0830655097961426,3.0034049207652878,3.0052282808297353
1000,1.626886010169983,1.6281898021697998,2.3471003789638663,2.348981353216353
1500,1.446264386177063,1.4543299674987793,2.0865184577519695,2.0981546319266964
2000,1.3619029521942139,1.3678150177001953,1.9648106353026313,1.9733399428895215
2500,1.2832612991333008,1.3094781637191772,1.8513547124243417,1.8891776529500433
3000,1.2321621179580688,1.2780603170394897,1.777634177149348,1.8438512813498482
3500,1.1981840133666992,1.2441822290420532,1.7286141341565724,1.7949755318011467
4000,1.158969521522522,1.226276159286499,1.6720395812419973,1.7691425337629967
4500,1.1326450109481812,1.2209208011627197,1.6340613403825666,1.761416385155636
4999,1.1277687549591064,1.2125694751739502,1.6270263900490234,1.749367968566791
5000,1.1194263696670532,1.2150137424468994,1.6149908721589932,1.7528943008400821
5500,1.1015037298202515,1.1971161365509033,1.5891339685323735,1.7270735135701434
6000,1.0733164548873901,1.186680555343628,1.5484683267705606,1.712018152313613
6500,1.045486569404602,1.190263032913208,1.5083182889960345,1.7171865749373423
7000,1.041837453842163,1.1907398700714111,1.503053728070473,1.7178745055407936
7500,1.0149004459381104,1.196043610572815,1.4641918403509093,1.7255261856603308
8000,0.9937677383422852,1.199297547340393,1.433703787901856,1.730220624098282
8500,0.9764946103096008,1.1968238353729248,1.408783931748462,1.726651812110228
9000,0.9516499638557434,1.2000871896743774,1.3729406835168423,1.7313598371775971
9500,0.9285120964050293,1.2155885696411133,1.339559796888951,1.7537236011825426
10000,0.9306914210319519,1.223427414894104,1.3427038977206993,1.7650326643553282
10500,0.9008153676986694,1.2280189990997314,1.2996018637354385,1.771656920118611
11000,0.8948947787284851,1.224636197090149,1.2910602593890117,1.7667765684350771
11500,0.8746819496154785,1.237033724784851,1.2618993110653411,1.7846624201595074
12000,0.8579570055007935,1.2462007999420166,1.2377703171319399,1.7978877140282066
12500,0.831558883190155,1.2607178688049316,1.1996858769856016,1.8188314172849778
13000,0.814498782157898,1.2502849102020264,1.1750733538292994,1.8037798396467664
13500,0.8056586980819702,1.2683418989181519,1.162319808371917,1.8298305677209086
14000,0.7907973527908325,1.2626111507415771,1.1408794192194542,1.821562845745981
14500,0.7665103673934937,1.291661024093628,1.1058407058285706,1.863472953969437
14999,0.747511088848114,1.3006294965744019,1.0784305408906834,1.8764117247417986
0,4.768410682678223,4.768899440765381,6.879362444821829,6.880067573690366
1000,1.542527675628662,1.5491958856582642,2.2253970280634503,2.2350172216047635
2000,1.2640091180801392,1.3052667379379272,1.823579686292649,1.883101849860362
3000,1.1551434993743896,1.2339670658111572,1.6665197980625555,1.7802381664660618
4000,1.0717447996139526,1.2026125192642212,1.5462009075015855,1.735003117653475
5000,0.9959058165550232,1.2166258096694946,1.4367883827364056,1.7552200222277
6000,0.9155691266059875,1.239479660987854,1.3208870385454978,1.7881911601899105
7000,0.827507495880127,1.2875590324401855,1.1938409606047036,1.8575550309532478
8000,0.7336990237236023,1.3343639373779297,1.058503943031115,1.9250802351962106
9000,0.6494908332824707,1.3853745460510254,0.937017204279461,1.9986729873616134
10000,0.5743867754936218,1.458204746246338,0.8286649525568506,2.103744756010341
11000,0.4947148859500885,1.546113133430481,0.7137227126141418,2.230569750253451
12000,0.43574783205986023,1.6310572624206543,0.6286512363908773,2.3531182239002066
13000,0.3819918632507324,1.6879345178604126,0.5510977667717667,2.4351747582625207
14000,0.330948144197464,1.7743202447891235,0.47745724642508686,2.55980301810616
15000,0.29463961720466614,1.8235734701156616,0.4250751145905943,2.6308604020325435
16000,0.26442110538482666,1.8954758644104004,0.3814790174450674,2.734593629709606
17000,0.24364124238491058,1.9939799308776855,0.3515000121447364,2.876704957909355
18000,0.221587136387825,2.039177656173706,0.31968266279150154,2.9419114920533853
19000,0.20479200780391693,2.10347056388855,0.29545241407240486,3.0346665511779225
19999,0.18897585570812225,2.117053985595703,0.2726345298778563,3.054263286313136
